"Date","Open","High","Low","Close"
"15 Sep 2023","-","-","-","2179.56"
"14 Sep 2023","-","-","-","2179.15"
"13 Sep 2023","-","-","-","2178.75"
"12 Sep 2023","-","-","-","2178.35"
"11 Sep 2023","-","-","-","2177.94"
"08 Sep 2023","-","-","-","2176.74"
"07 Sep 2023","-","-","-","2176.34"
"06 Sep 2023","-","-","-","2175.96"
"05 Sep 2023","-","-","-","2175.59"
"04 Sep 2023","-","-","-","2175.21"
"01 Sep 2023","-","-","-","2174.06"
"31 Aug 2023","-","-","-","2173.67"
"30 Aug 2023","-","-","-","2173.27"
"29 Aug 2023","-","-","-","2172.88"
"28 Aug 2023","-","-","-","2172.47"
"25 Aug 2023","-","-","-","2171.27"
"24 Aug 2023","-","-","-","2170.87"
"23 Aug 2023","-","-","-","2170.46"
"22 Aug 2023","-","-","-","2170.06"
"21 Aug 2023","-","-","-","2169.66"
"18 Aug 2023","-","-","-","2168.46"
"17 Aug 2023","-","-","-","2168.06"
"16 Aug 2023","-","-","-","2167.66"
"14 Aug 2023","-","-","-","2166.87"
"11 Aug 2023","-","-","-","2165.71"
"10 Aug 2023","-","-","-","2165.33"
"09 Aug 2023","-","-","-","2164.96"
"08 Aug 2023","-","-","-","2164.58"
"07 Aug 2023","-","-","-","2164.21"
"04 Aug 2023","-","-","-","2163.10"
"03 Aug 2023","-","-","-","2162.73"
"02 Aug 2023","-","-","-","2162.36"
"01 Aug 2023","-","-","-","2161.99"
"31 Jul 2023","-","-","-","2161.62"
"28 Jul 2023","-","-","-","2160.47"
"27 Jul 2023","-","-","-","2160.08"
"26 Jul 2023","-","-","-","2159.71"
"25 Jul 2023","-","-","-","2159.34"
"24 Jul 2023","-","-","-","2158.96"
"21 Jul 2023","-","-","-","2157.80"
"20 Jul 2023","-","-","-","2157.41"
"19 Jul 2023","-","-","-","2157.03"
"18 Jul 2023","-","-","-","2156.66"
"17 Jul 2023","-","-","-","2156.29"
"14 Jul 2023","-","-","-","2155.17"
"13 Jul 2023","-","-","-","2154.80"
"12 Jul 2023","-","-","-","2154.43"
"11 Jul 2023","-","-","-","2154.06"
"10 Jul 2023","-","-","-","2153.68"
"07 Jul 2023","-","-","-","2152.55"
"06 Jul 2023","-","-","-","2152.17"
"05 Jul 2023","-","-","-","2151.79"
"04 Jul 2023","-","-","-","2151.42"
"03 Jul 2023","-","-","-","2151.05"
"30 Jun 2023","-","-","-","2149.88"
"28 Jun 2023","-","-","-","2149.09"
"27 Jun 2023","-","-","-","2148.69"
"26 Jun 2023","-","-","-","2148.29"
"23 Jun 2023","-","-","-","2147.11"
"22 Jun 2023","-","-","-","2146.72"
"21 Jun 2023","-","-","-","2146.35"
"20 Jun 2023","-","-","-","2145.98"
"19 Jun 2023","-","-","-","2145.61"
"16 Jun 2023","-","-","-","2144.45"
"15 Jun 2023","-","-","-","2144.07"
"14 Jun 2023","-","-","-","2143.69"
"13 Jun 2023","-","-","-","2143.31"
"12 Jun 2023","-","-","-","2142.94"
"09 Jun 2023","-","-","-","2141.81"
"08 Jun 2023","-","-","-","2141.43"
"07 Jun 2023","-","-","-","2141.04"
"06 Jun 2023","-","-","-","2140.67"
"05 Jun 2023","-","-","-","2140.30"
"02 Jun 2023","-","-","-","2139.19"
"01 Jun 2023","-","-","-","2138.82"
"31 May 2023","-","-","-","2138.46"
"30 May 2023","-","-","-","2138.09"
"29 May 2023","-","-","-","2137.73"
"26 May 2023","-","-","-","2136.63"
"25 May 2023","-","-","-","2136.26"
"24 May 2023","-","-","-","2135.89"
"23 May 2023","-","-","-","2135.52"
"22 May 2023","-","-","-","2135.16"
"19 May 2023","-","-","-","2134.05"
"18 May 2023","-","-","-","2133.68"
"17 May 2023","-","-","-","2133.31"
"16 May 2023","-","-","-","2132.94"
"15 May 2023","-","-","-","2132.54"
"12 May 2023","-","-","-","2131.36"
"11 May 2023","-","-","-","2130.96"
"10 May 2023","-","-","-","2130.57"
"09 May 2023","-","-","-","2130.18"
"08 May 2023","-","-","-","2129.78"
"05 May 2023","-","-","-","2128.60"
"04 May 2023","-","-","-","2128.21"
"03 May 2023","-","-","-","2127.81"
"02 May 2023","-","-","-","2127.42"
"28 Apr 2023","-","-","-","2125.85"
