"Date","Open","High","Low","Close"
"15 Sep 2023","-","-","-","41547.50"
"14 Sep 2023","-","-","-","41680.02"
"13 Sep 2023","-","-","-","41377.91"
"12 Sep 2023","-","-","-","41481.50"
"11 Sep 2023","-","-","-","42758.13"
"08 Sep 2023","-","-","-","42327.12"
"07 Sep 2023","-","-","-","41674.19"
"06 Sep 2023","-","-","-","41320.69"
"05 Sep 2023","-","-","-","41445.91"
"04 Sep 2023","-","-","-","41011.02"
"01 Sep 2023","-","-","-","40515.38"
"31 Aug 2023","-","-","-","40250.54"
"30 Aug 2023","-","-","-","40087.42"
"29 Aug 2023","-","-","-","39700.60"
"28 Aug 2023","-","-","-","39642.20"
"25 Aug 2023","-","-","-","39467.12"
"24 Aug 2023","-","-","-","39758.00"
"23 Aug 2023","-","-","-","39862.69"
"22 Aug 2023","-","-","-","39648.81"
"21 Aug 2023","-","-","-","39198.12"
"18 Aug 2023","-","-","-","38866.23"
"17 Aug 2023","-","-","-","38890.41"
"16 Aug 2023","-","-","-","38643.47"
"14 Aug 2023","-","-","-","38545.35"
"11 Aug 2023","-","-","-","38585.81"
"10 Aug 2023","-","-","-","38573.45"
"09 Aug 2023","-","-","-","38609.82"
"08 Aug 2023","-","-","-","38583.41"
"07 Aug 2023","-","-","-","38569.40"
"04 Aug 2023","-","-","-","38264.51"
"03 Aug 2023","-","-","-","38178.16"
"02 Aug 2023","-","-","-","38222.94"
"01 Aug 2023","-","-","-","38580.76"
"31 Jul 2023","-","-","-","38726.36"
"28 Jul 2023","-","-","-","38294.44"
"27 Jul 2023","-","-","-","38045.77"
"26 Jul 2023","-","-","-","37864.79"
"25 Jul 2023","-","-","-","37748.71"
"24 Jul 2023","-","-","-","37614.09"
"21 Jul 2023","-","-","-","37406.50"
"20 Jul 2023","-","-","-","37584.12"
"19 Jul 2023","-","-","-","37495.19"
"18 Jul 2023","-","-","-","37151.01"
"17 Jul 2023","-","-","-","37032.11"
"14 Jul 2023","-","-","-","36939.55"
"13 Jul 2023","-","-","-","36724.57"
"12 Jul 2023","-","-","-","36958.06"
"11 Jul 2023","-","-","-","36777.47"
"10 Jul 2023","-","-","-","36352.60"
"07 Jul 2023","-","-","-","36417.01"
"06 Jul 2023","-","-","-","36694.95"
"05 Jul 2023","-","-","-","36427.27"
"04 Jul 2023","-","-","-","36188.12"
"03 Jul 2023","-","-","-","36371.91"
"30 Jun 2023","-","-","-","36327.13"
"28 Jun 2023","-","-","-","36218.03"
"27 Jun 2023","-","-","-","36033.53"
"26 Jun 2023","-","-","-","35887.18"
"23 Jun 2023","-","-","-","35643.09"
"22 Jun 2023","-","-","-","36054.59"
"21 Jun 2023","-","-","-","36413.99"
"20 Jun 2023","-","-","-","36331.49"
"19 Jun 2023","-","-","-","36177.83"
"16 Jun 2023","-","-","-","36260.55"
"15 Jun 2023","-","-","-","35838.17"
"14 Jun 2023","-","-","-","35883.59"
"13 Jun 2023","-","-","-","35756.52"
"12 Jun 2023","-","-","-","35364.20"
"09 Jun 2023","-","-","-","35235.10"
"08 Jun 2023","-","-","-","35183.00"
"07 Jun 2023","-","-","-","35481.50"
"06 Jun 2023","-","-","-","35152.87"
"05 Jun 2023","-","-","-","35078.66"
"02 Jun 2023","-","-","-","35009.52"
"01 Jun 2023","-","-","-","34835.44"
"31 May 2023","-","-","-","34866.66"
"30 May 2023","-","-","-","34624.10"
"29 May 2023","-","-","-","34518.13"
"26 May 2023","-","-","-","34388.41"
"25 May 2023","-","-","-","33959.77"
"24 May 2023","-","-","-","33828.14"
"23 May 2023","-","-","-","33858.47"
"22 May 2023","-","-","-","33821.22"
"19 May 2023","-","-","-","33653.33"
"18 May 2023","-","-","-","33626.07"
"17 May 2023","-","-","-","33842.95"
"16 May 2023","-","-","-","33828.27"
"15 May 2023","-","-","-","33688.70"
"12 May 2023","-","-","-","33613.43"
"11 May 2023","-","-","-","33597.68"
"10 May 2023","-","-","-","33505.30"
"09 May 2023","-","-","-","33459.91"
"08 May 2023","-","-","-","33495.99"
"05 May 2023","-","-","-","33393.31"
"04 May 2023","-","-","-","33531.61"
"03 May 2023","-","-","-","33250.22"
"02 May 2023","-","-","-","33056.97"
"28 Apr 2023","-","-","-","32738.63"
"27 Apr 2023","-","-","-","32453.23"
"26 Apr 2023","-","-","-","32309.56"
"25 Apr 2023","-","-","-","32149.63"
"24 Apr 2023","-","-","-","32105.06"
"21 Apr 2023","-","-","-","31859.84"
"20 Apr 2023","-","-","-","32075.49"
